frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1973-03-09,1973-03-16,0.06382199093025799,0.07989109740881545,1411
weekly,1973-03-16,1973-03-23,0.04545172515354296,0.05328329702267253,1404
weekly,1973-03-23,1973-03-30,-0.015478211937665553,0.007724257210622995,1419
weekly,1973-03-30,1973-04-06,0.03712485677791896,0.0573465549956805,1394
weekly,1973-04-06,1973-04-13,0.06646453531868132,0.11445400841695111,1442
weekly,1973-04-13,1973-04-19,0.06703894718704385,0.12372467180688199,1450
weekly,1973-04-19,1973-04-27,0.05153898497176452,0.05376683122037643,1452
weekly,1973-04-27,1973-05-04,0.10849369988233717,0.1611326200958526,1441
weekly,1973-05-04,1973-05-11,-0.027050564880780986,-0.003060439778007373,1461
weekly,1973-05-11,1973-05-18,0.2504043906886429,0.247148014818838,1422
weekly,1973-05-18,1973-05-25,0.18042572703630128,0.2501325944991215,1424
weekly,1973-05-25,1973-06-01,-0.027871727603745497,-0.018304438634716688,1442
weekly,1973-06-01,1973-06-08,0.09460566353410733,0.1290456105681022,1393
weekly,1973-06-08,1973-06-15,-0.08136513661563607,-0.05031628660522108,1398
weekly,1973-06-15,1973-06-22,0.13292149789858168,0.1619555216324065,1387
weekly,1973-06-22,1973-06-29,0.017796409294447764,0.058840210593779266,1407
weekly,1973-06-29,1973-07-06,-0.1535414131592806,-0.1598749546868263,1352
weekly,1973-07-06,1973-07-13,-0.17057624359813034,-0.13696737303288187,1337
weekly,1973-07-13,1973-07-20,-0.18006149256688592,-0.15126162656079561,1381
weekly,1973-07-20,1973-07-27,-0.04954857148269822,-0.0174282902757645,1436
weekly,1973-07-27,1973-08-03,0.01673495730008246,0.05126064216662264,1452
weekly,1973-08-03,1973-08-10,0.0961121081750593,0.1259498384969197,1398
weekly,1973-08-10,1973-08-17,0.08212409518871736,0.10027963310917709,1392
weekly,1973-08-17,1973-08-24,0.04819683437258613,0.08694057255578598,1367
weekly,1973-08-24,1973-08-31,0.08800447258841335,0.1433766899431598,1366
weekly,1973-08-31,1973-09-07,0.012099786089590656,0.0813051512687175,1377
weekly,1973-09-07,1973-09-14,0.004677856295447733,0.02639124560118034,1398
weekly,1973-09-14,1973-09-21,-0.06865019684318714,0.0031688514035718863,1398
weekly,1973-09-21,1973-09-28,-0.1157801913917749,-0.0756086577557371,1442
weekly,1973-09-28,1973-10-05,-0.17665553431265554,-0.1398236514231991,1451
weekly,1973-10-05,1973-10-12,0.017999280925534746,0.07887305280774475,1480
weekly,1973-10-12,1973-10-19,0.07395561290783796,0.11937956545369593,1482
weekly,1973-10-19,1973-10-26,0.12130074532265077,0.16934171072727197,1472
weekly,1973-10-26,1973-11-02,0.020201916162945192,0.03286125575682107,1451
weekly,1973-11-02,1973-11-09,0.08333099921290946,0.13384926566128924,1416
weekly,1973-11-09,1973-11-16,0.17606976589962042,0.19207639085885994,1435
